Structures   Fraction     E[J/m2]      V[A]         Fx           Fy           Fz           Q4           Q6           Q8           Q12          Method       
lammps_0157  0.8889       0.97280      0.28687      1.77527      0.53789      -0.01625     -0.10013     -0.14426     -0.02276     -0.17988     byEQ         
lammps_0158  0.8889       0.97256      0.28945      1.88168      0.55128      0.00352      -0.10020     -0.14371     -0.02178     -0.17895     byEQ         
lammps_0159  0.8889       0.97298      0.28846      1.78617      0.53512      0.00350      -0.09758     -0.14081     -0.02085     -0.17590     byEQ         
lammps_0160  0.8889       0.97334      0.29126      1.85707      0.58317      0.00353      -0.10129     -0.14536     -0.01885     -0.17919     byEQ         
lammps_0161  0.8889       0.97519      0.28940      1.81032      0.54278      -0.01579     -0.09653     -0.14067     -0.01895     -0.17504     byEQ         
lammps_0162  0.8889       0.97407      0.29758      2.02687      0.76804      0.00345      -0.10565     -0.15024     -0.02823     -0.19026     byEQ         
lammps_0163  0.8889       0.97468      0.29076      1.88478      0.62628      0.00144      -0.10821     -0.15242     -0.02496     -0.19108     byEQ         
lammps_0164  0.8889       0.97543      0.29767      2.03887      0.77065      0.00360      -0.10825     -0.15191     -0.02984     -0.19263     byEQ         
lammps_0165  0.8889       0.97645      0.29388      1.89321      0.69231      0.00363      -0.10534     -0.14900     -0.02549     -0.18786     byEQ         
lammps_0166  0.8889       0.97751      0.30386      2.16970      0.79505      0.00155      -0.10427     -0.14830     -0.02375     -0.18570     byEQ         
lammps_0167  0.8889       0.97821      0.28932      1.75096      0.65979      0.00360      -0.10393     -0.14826     -0.02497     -0.18795     byEQ         
lammps_0168  0.8889       0.97879      0.29217      1.82954      0.60841      0.00171      -0.10568     -0.15121     -0.02043     -0.18748     byEQ         
lammps_0169  0.8889       0.97874      0.30148      2.13611      0.77927      0.00329      -0.11214     -0.15816     -0.02442     -0.19647     byEQ         
lammps_0170  0.8889       0.97897      0.31890      1.65675      0.97592      0.00248      -0.07502     -0.12461     0.00466      -0.14869     byEQ         
lammps_0171  0.8889       0.97867      0.31932      1.66652      0.97746      0.00222      -0.07442     -0.12380     0.00452      -0.14826     byEQ         
lammps_0172  0.8889       0.97977      0.28985      1.76179      0.67938      -0.01573     -0.10908     -0.15384     -0.02494     -0.19356     byEQ         
lammps_0173  0.8889       0.97939      0.31208      1.76771      0.86239      0.00234      -0.08099     -0.12812     -0.00458     -0.15662     byEQ         
lammps_0174  0.8889       0.98067      0.30696      1.82445      0.72842      -0.01544     -0.08231     -0.12995     -0.00516     -0.15845     byEQ         
lammps_0175  0.8889       0.97980      0.31730      1.63983      0.90931      0.00216      -0.07664     -0.12554     0.00643      -0.14907     byEQ         
lammps_0176  0.8889       0.97966      0.29498      1.86999      0.74234      0.00295      -0.11138     -0.15414     -0.02047     -0.19162     byEQ         
lammps_0177  0.8889       0.98036      0.30869      1.81518      0.71841      0.00243      -0.08372     -0.13135     -0.00285     -0.15856     byEQ         
lammps_0178  0.8889       0.97953      0.31893      1.56156      0.98707      0.00205      -0.07504     -0.12404     0.00584      -0.14856     byEQ         
lammps_0179  0.8889       0.97971      0.31791      1.60182      0.94883      0.00216      -0.07642     -0.12597     0.00576      -0.14897     byEQ         
lammps_0180  0.8889       0.98087      0.31771      1.66092      0.90993      0.00266      -0.07477     -0.12458     0.00503      -0.14815     byEQ         
lammps_0181  0.8889       0.98122      0.31738      1.63652      0.90738      0.00267      -0.07578     -0.12538     0.00510      -0.14902     byEQ         
lammps_0182  0.8889       0.98168      0.28936      1.72627      0.39725      0.00309      -0.09428     -0.13806     -0.01448     -0.17004     byEQ         
lammps_0183  0.8889       0.98159      0.30706      1.70626      0.73709      0.00217      -0.08523     -0.13207     -0.00417     -0.16017     byEQ         
lammps_0184  0.8889       0.98321      0.31469      1.70996      0.86771      -0.01568     -0.07760     -0.12615     0.00125      -0.15193     byEQ         
lammps_0185  0.8889       0.98195      0.31789      1.74647      0.88093      0.00185      -0.07554     -0.12441     0.00187      -0.14983     byEQ         
lammps_0186  0.8889       0.98312      0.30055      1.95941      0.72065      0.00302      -0.10001     -0.14436     -0.01524     -0.17897     byEQ         
lammps_0187  0.8889       0.98327      0.29720      1.91576      0.57248      0.00278      -0.10024     -0.14585     -0.01494     -0.17885     byEQ         
lammps_0188  0.8889       0.98407      0.30039      1.89177      0.50452      0.00270      -0.09053     -0.13922     -0.00698     -0.16666     byEQ         
lammps_0189  0.8889       0.98403      0.29410      1.86920      0.60983      0.00147      -0.10815     -0.15288     -0.02111     -0.18933     byEQ         
lammps_0190  0.8889       0.98406      0.28955      1.71370      0.48954      0.00326      -0.10285     -0.14891     -0.01869     -0.18460     byEQ         
lammps_0191  0.8889       0.98428      0.28380      1.42983      0.39425      0.00291      -0.09010     -0.13519     -0.01187     -0.16554     byEQ         
lammps_0192  0.8889       0.98354      0.31820      1.73754      0.88334      0.00241      -0.07788     -0.12868     0.00338      -0.15240     byEQ         
lammps_0193  0.8889       0.98501      0.31906      1.87348      0.85870      0.00214      -0.07903     -0.12899     0.00102      -0.15407     byEQ         
lammps_0194  0.8889       0.98579      0.30137      2.04128      0.71821      0.00336      -0.10276     -0.14673     -0.02289     -0.18453     byEQ         
lammps_0195  0.8889       0.98548      0.28955      1.61064      0.67727      0.00316      -0.10854     -0.15355     -0.02227     -0.19123     byEQ         
lammps_0196  0.8889       0.98606      0.28760      1.66557      0.51778      0.00170      -0.10452     -0.14950     -0.02056     -0.18605     byEQ         
lammps_0197  0.8889       0.98593      0.31349      1.76891      0.78227      0.00222      -0.08080     -0.13038     -0.00120     -0.15617     byEQ         
lammps_0198  0.8889       0.98596      0.29410      1.88475      0.66535      0.00332      -0.10695     -0.15170     -0.03097     -0.19269     byEQ         
lammps_0199  0.8889       0.98664      0.29644      1.81103      0.58118      0.00291      -0.09962     -0.14395     -0.01216     -0.17610     byEQ         
lammps_0200  0.8889       0.98680      0.28727      1.66644      0.58754      0.00366      -0.10907     -0.15178     -0.03018     -0.19417     byEQ         
lammps_0201  0.8889       0.98836      0.27952      1.34824      0.33126      -0.01470     -0.09027     -0.13587     -0.01093     -0.16633     byEQ         
